Geographic Area Name (NAME),Year (YEAR),Number of establishments (ESTAB)
Alabama,2019,379.00 
Alaska,2019,98.00 
Arizona,2019,205.00 
Arkansas,2019,344.00 
California,2019,4150.00 
Colorado,2019,1315.00 
Connecticut,2019,875.00 
Delaware,2019,261.00 
District of Columbia,2019,180.00 
Florida,2019,1470.00 
Georgia,2019,998.00 
Hawaii,2019,67.00 
Idaho,2019,96.00 
Illinois,2019,1390.00 
Indiana,2019,824.00 
Iowa,2019,142.00 
Kansas,2019,604.00 
Kentucky,2019,565.00 
Louisiana,2019,166.00 
Maine,2019,59.00 
Maryland,2019,1238.00 
Massachusetts,2019,1449.00 
Michigan,2019,1645.00 
Minnesota,2019,852.00 
Mississippi,2019,399.00 
Missouri,2019,399.00 
Montana,2019,75.00 
Nebraska,2019,129.00 
Nevada,2019,154.00 
New Hampshire,2019,96.00 
New Jersey,2019,1814.00 
New Mexico,2019,76.00 
New York,2019,3290.00 
North Carolina,2019,634.00 
North Dakota,2019,89.00 
Ohio,2019,658.00 
Oklahoma,2019,424.00 
Oregon,2019,255.00 
Pennsylvania,2019,1835.00 
Rhode Island,2019,234.00 
South Carolina,2019,465.00 
South Dakota,2019,68.00 
Tennessee,2019,664.00 
Texas,2019,2002.00 
Utah,2019,57.00 
Vermont,2019,118.00 
Virginia,2019,483.00 
Washington,2019,262.00 
West Virginia,2019,72.00 
Wisconsin,2019,403.00 
Wyoming,2019,91.00 
Guam,2019,7.00 
Commonwealth of the Northern Mariana Islands,2019,4.00 
Puerto Rico,2019,80.00 
