Geographic Area Name (NAME),Year (YEAR),Number of establishments (ESTAB)
Alabama,2016,357.00 
Alaska,2016,95.00 
Arizona,2016,214.00 
Arkansas,2016,345.00 
California,2016,3996.00 
Colorado,2016,1317.00 
Connecticut,2016,863.00 
Delaware,2016,250.00 
District of Columbia,2016,180.00 
Florida,2016,1435.00 
Georgia,2016,929.00 
Hawaii,2016,62.00 
Idaho,2016,91.00 
Illinois,2016,1321.00 
Indiana,2016,830.00 
Iowa,2016,140.00 
Kansas,2016,638.00 
Kentucky,2016,475.00 
Louisiana,2016,161.00 
Maine,2016,55.00 
Maryland,2016,1202.00 
Massachusetts,2016,1405.00 
Michigan,2016,1632.00 
Minnesota,2016,938.00 
Mississippi,2016,378.00 
Missouri,2016,396.00 
Montana,2016,83.00 
Nebraska,2016,137.00 
Nevada,2016,152.00 
New Hampshire,2016,97.00 
New Jersey,2016,1736.00 
New Mexico,2016,80.00 
New York,2016,3235.00 
North Carolina,2016,590.00 
North Dakota,2016,90.00 
Ohio,2016,783.00 
Oklahoma,2016,449.00 
Oregon,2016,251.00 
Pennsylvania,2016,1829.00 
Rhode Island,2016,233.00 
South Carolina,2016,426.00 
South Dakota,2016,68.00 
Tennessee,2016,616.00 
Texas,2016,1920.00 
Utah,2016,56.00 
Vermont,2016,124.00 
Virginia,2016,454.00 
Washington,2016,276.00 
West Virginia,2016,61.00 
Wisconsin,2016,413.00 
Wyoming,2016,94.00 
American Samoa,2016,1.00 
Guam,2016,9.00 
Commonwealth of the Northern Mariana Islands,2016,3.00 
Puerto Rico,2016,78.00 
