Geographic Area Name (NAME),Year (YEAR),Number of establishments (ESTAB)
Alabama,2014,358.00 
Alaska,2014,98.00 
Arizona,2014,212.00 
Arkansas,2014,340.00 
California,2014,3885.00 
Colorado,2014,1281.00 
Connecticut,2014,809.00 
Delaware,2014,250.00 
District of Columbia,2014,177.00 
Florida,2014,1384.00 
Georgia,2014,918.00 
Hawaii,2014,58.00 
Idaho,2014,94.00 
Illinois,2014,1309.00 
Indiana,2014,808.00 
Iowa,2014,132.00 
Kansas,2014,624.00 
Kentucky,2014,471.00 
Louisiana,2014,156.00 
Maine,2014,54.00 
Maryland,2014,1194.00 
Massachusetts,2014,1382.00 
Michigan,2014,1597.00 
Minnesota,2014,919.00 
Mississippi,2014,350.00 
Missouri,2014,381.00 
Montana,2014,81.00 
Nebraska,2014,138.00 
Nevada,2014,142.00 
New Hampshire,2014,96.00 
New Jersey,2014,1729.00 
New Mexico,2014,90.00 
New York,2014,3061.00 
North Carolina,2014,574.00 
North Dakota,2014,93.00 
Ohio,2014,793.00 
Oklahoma,2014,405.00 
Oregon,2014,249.00 
Pennsylvania,2014,1800.00 
Rhode Island,2014,221.00 
South Carolina,2014,408.00 
South Dakota,2014,79.00 
Tennessee,2014,604.00 
Texas,2014,1876.00 
Utah,2014,56.00 
Vermont,2014,122.00 
Virginia,2014,457.00 
Washington,2014,317.00 
West Virginia,2014,60.00 
Wisconsin,2014,409.00 
Wyoming,2014,103.00 
American Samoa,2014,2.00 
Guam,2014,8.00 
Commonwealth of the Northern Mariana Islands,2014,6.00 
Puerto Rico,2014,77.00 
