Geographic Area Name (NAME),Year (YEAR),Number of establishments (ESTAB)
Alabama,2015,370.00 
Alaska,2015,97.00 
Arizona,2015,225.00 
Arkansas,2015,344.00 
California,2015,3938.00 
Colorado,2015,1312.00 
Connecticut,2015,840.00 
Delaware,2015,249.00 
District of Columbia,2015,178.00 
Florida,2015,1423.00 
Georgia,2015,928.00 
Hawaii,2015,60.00 
Idaho,2015,93.00 
Illinois,2015,1326.00 
Indiana,2015,817.00 
Iowa,2015,140.00 
Kansas,2015,637.00 
Kentucky,2015,474.00 
Louisiana,2015,158.00 
Maine,2015,53.00 
Maryland,2015,1200.00 
Massachusetts,2015,1400.00 
Michigan,2015,1620.00 
Minnesota,2015,933.00 
Mississippi,2015,361.00 
Missouri,2015,381.00 
Montana,2015,79.00 
Nebraska,2015,130.00 
Nevada,2015,137.00 
New Hampshire,2015,96.00 
New Jersey,2015,1760.00 
New Mexico,2015,87.00 
New York,2015,3159.00 
North Carolina,2015,583.00 
North Dakota,2015,94.00 
Ohio,2015,789.00 
Oklahoma,2015,431.00 
Oregon,2015,252.00 
Pennsylvania,2015,1828.00 
Rhode Island,2015,231.00 
South Carolina,2015,408.00 
South Dakota,2015,76.00 
Tennessee,2015,627.00 
Texas,2015,1869.00 
Utah,2015,58.00 
Vermont,2015,124.00 
Virginia,2015,464.00 
Washington,2015,292.00 
West Virginia,2015,61.00 
Wisconsin,2015,406.00 
Wyoming,2015,94.00 
American Samoa,2015,2.00 
Guam,2015,6.00 
Commonwealth of the Northern Mariana Islands,2015,5.00 
Puerto Rico,2015,80.00 
